,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value
Pumi,151,38.1,46.99,9.979032140000001,13.15417873,12.0,13.0,0.2,0.2,0.8,0.8,0.6
Pyrenean Mastiff,,63.5,78.74,54.4310844,108.8621688,10.0,13.0,0.6,0.6,0.4,,
Pyrenean Shepherd,181,38.1,53.34,6.80388555,13.6077711,0.0,0.0,0.4,0.6,0.8,0.6,0.4
Rafeiro do Alentejo,,63.5,73.66,34.926612490000004,59.874192840000006,12.0,14.0,0.4,0.6,0.4,,
Rat Terrier,86,25.4,45.72,4.535923700000001,11.33980925,12.0,18.0,0.4,0.6,0.6,0.8,0.8
Redbone Coonhound,142,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,0.4,0.6,0.6,0.8,0.8
Rhodesian Ridgeback,41,60.96,68.58,31.751465900000003,38.55535145,10.0,10.0,0.4,0.6,0.6,0.4,0.6
Romanian Mioritic Shepherd Dog,,57.15,73.66,45.359237,58.9670081,12.0,14.0,0.4,0.4,0.6,0.4,0.2
Rottweiler,8,55.88,68.58,36.287389600000004,61.23496995,9.0,10.0,0.4,0.6,0.6,0.6,0.4
Russell Terrier,82,25.4,30.48,4.082331330000001,6.80388555,12.0,14.0,0.4,0.4,1.0,0.6,0.8
Russian Toy,,20.32,27.94,2.9483504050000002,2.9483504050000002,12.0,14.0,0.4,0.2,0.6,0.6,0.8
Russian Tsvetnaya Bolonka,,22.86,25.4,2.0411656650000003,4.9895160700000005,12.0,16.0,0.6,0.2,0.6,0.6,0.8
Saint Bernard,48,66.04,76.2,54.4310844,81.6466266,8.0,10.0,0.4,0.6,0.6,0.6,0.8
Saluki,120,58.42,71.12,18.143694800000002,29.48350405,10.0,17.0,0.2,0.4,0.8,0.4,0.4
Samoyed,59,48.26,59.69,15.875732950000002,29.48350405,12.0,14.0,0.6,0.6,0.8,0.4,0.8
Schapendoes,,40.64,50.8,11.793401620000001,24.947580350000003,12.0,15.0,0.4,0.6,0.6,0.8,0.6
Schipperke,105,25.4,33.02,4.535923700000001,7.25747792,12.0,14.0,0.4,0.6,0.8,0.4,0.6
Scottish Deerhound,158,71.12,81.28,34.01942775,49.895160700000005,8.0,11.0,0.2,0.6,0.6,0.4,0.6
Scottish Terrier,57,25.4,25.4,8.164662660000001,9.979032140000001,12.0,12.0,0.6,0.4,0.6,0.4,0.6
Sealyham Terrier,164,26.67,26.67,10.43262451,10.886216880000001,12.0,14.0,0.6,0.6,0.6,0.4,0.6
Segugio Italiano,,48.26,58.42,18.143694800000002,27.2155422,11.0,13.0,0.4,0.6,,1.0,
Shetland Sheepdog,25,33.02,40.64,6.80388555,11.33980925,12.0,14.0,0.6,0.6,0.6,1.0,0.4
Shiba Inu,44,34.29,41.910000000000004,7.71107029,10.43262451,13.0,16.0,0.4,0.6,0.6,0.4,0.4
Shih Tzu,20,22.86,26.67,4.082331330000001,7.25747792,10.0,18.0,0.8,0.2,0.6,0.6,0.8
Shikoku,,43.18,55.88,15.875732950000002,24.947580350000003,10.0,12.0,0.4,,0.6,,
Siberian Husky,14,50.8,59.69,15.875732950000002,27.2155422,12.0,14.0,0.4,0.6,0.8,0.4,0.8
Silky Terrier,112,22.86,25.4,4.535923700000001,4.535923700000001,13.0,15.0,0.6,0.4,0.6,0.6,0.6
Skye Terrier,178,24.13,25.4,15.875732950000002,20.41165665,12.0,14.0,0.8,0.6,0.6,0.4,0.4
Sloughi,192,60.96,73.66,15.875732950000002,22.6796185,10.0,15.0,0.4,0.2,0.6,0.4,0.4
Slovakian Wirehaired Pointer,,57.15,67.31,22.6796185,29.48350405,12.0,15.0,0.2,0.4,0.8,0.4,1.0
Slovensky Cuvac,,58.42,69.85,30.84428116,43.99845989,11.0,13.0,0.4,0.8,0.4,,
